订单日期,地区,客户类型,商品类别,商品名称,销售额,订单数,毛利率
2025-01-01,华北,中小企业,协作工具,团队会议平台,84300,13,0.5935
2025-01-01,华南,教育机构,办公软件,表格分析套件,40800,9,0.5244
2025-01-03,华东,中小企业,办公软件,流程审批模块,30200,8,0.4762
2025-01-04,华东,中小企业,AI 应用,智能客服助手,78100,8,0.701
2025-01-08,西南,大型企业,协作工具,知识库协同版,143400,13,0.5359
2025-01-10,华东,教育机构,办公软件,流程审批模块,24600,4,0.4881
2025-01-15,华东,中小企业,AI 应用,销售分析助手,121200,13,0.6622
2025-01-16,华南,教育机构,AI 应用,销售分析助手,70200,9,0.6692
2025-01-19,华东,大型企业,办公软件,表格分析套件,37800,7,0.5067
2025-01-23,华东,政府机构,办公软件,表格分析套件,38700,4,0.5239
2025-01-26,华东,教育机构,办公软件,流程审批模块,12000,2,0.5669
2025-01-28,华南,教育机构,数据服务,数据集成服务,25000,4,0.5602
2025-01-28,西南,中小企业,协作工具,知识库协同版,15100,3,0.5295
2025-01-29,华东,政府机构,办公软件,文档协同套件,46300,7,0.502
2025-01-31,华东,大型企业,数据服务,经营看板服务,161000,14,0.5665
2025-01-31,华北,中小企业,数据服务,指标治理服务,47000,8,0.6323
2025-02-02,华南,政府机构,办公软件,表格分析套件,46100,8,0.4893
2025-02-02,华东,政府机构,AI 应用,智能客服助手,55300,6,0.6949
2025-02-03,华北,中小企业,办公软件,文档协同套件,15600,3,0.5326
2025-02-06,华南,中小企业,办公软件,表格分析套件,72900,12,0.4756
2025-02-07,华东,中小企业,数据服务,指标治理服务,27100,4,0.6631
2025-02-09,华南,大型企业,AI 应用,智能客服助手,168700,12,0.6485
2025-02-10,华东,教育机构,办公软件,流程审批模块,26300,4,0.4979
2025-02-11,华东,中小企业,数据服务,经营看板服务,26800,4,0.6077
2025-02-15,华北,中小企业,AI 应用,销售分析助手,132300,11,0.6577
2025-02-18,西南,政府机构,数据服务,指标治理服务,77500,7,0.5691
2025-02-19,华南,教育机构,协作工具,知识库协同版,37500,5,0.5951
2025-02-20,华北,教育机构,办公软件,文档协同套件,16200,6,0.555
2025-02-21,华北,中小企业,协作工具,项目协作空间,36500,6,0.5659
2025-02-21,华东,教育机构,AI 应用,销售分析助手,43500,6,0.7113
2025-02-23,华东,中小企业,协作工具,知识库协同版,60000,6,0.5372
2025-02-23,华东,中小企业,协作工具,团队会议平台,23700,4,0.5954
2025-02-25,华东,中小企业,协作工具,知识库协同版,24900,6,0.5916
2025-02-26,华东,教育机构,数据服务,指标治理服务,72500,11,0.6352
2025-02-27,华东,政府机构,办公软件,表格分析套件,31700,4,0.46
2025-02-27,华南,中小企业,办公软件,文档协同套件,41000,7,0.4745
2025-03-01,华东,教育机构,数据服务,经营看板服务,107400,13,0.5731
2025-03-03,华南,政府机构,AI 应用,智能客服助手,10400,1,0.6416
2025-03-03,西南,中小企业,AI 应用,销售分析助手,21100,3,0.6731
